iter	Logloss
0	0.6332529612
1	0.5621904745
2	0.5002073599
3	0.4426123312
4	0.4006699722
5	0.3678766113
6	0.3450652208
7	0.3131505678
8	0.2874366339
9	0.265524867
10	0.2481041222
11	0.2276490651
12	0.2094237315
13	0.1898945433
14	0.174190235
15	0.1598096125
16	0.1473653668
17	0.1366741833
18	0.1278072529
19	0.1189854385
20	0.1100261536
21	0.1027802221
22	0.0954333141
23	0.08918528676
24	0.0814859645
25	0.07528698064
26	0.06905862182
27	0.06325387593
28	0.0592383803
29	0.05496917705
30	0.05148218666
31	0.0476771341
32	0.04500968336
33	0.04126285007
34	0.03956979661
35	0.03770636915
36	0.03676584759
37	0.03452790104
38	0.03274505331
39	0.03076366898
40	0.02859503284
41	0.02661716738
42	0.02536334779
43	0.02402770901
44	0.0227733123
45	0.02211253647
46	0.02078927864
47	0.01956106143
48	0.0185911436
49	0.01774276931
50	0.01727119936
51	0.0165711078
52	0.01580070749
53	0.01499206531
54	0.01420894902
55	0.01387992838
56	0.01315585056
57	0.01254109512
58	0.01201528375
59	0.0114590894
60	0.01086871335
61	0.01064711039
62	0.01030253659
63	0.00990569577
64	0.009575669041
65	0.00913003748
66	0.008670347848
67	0.008392466124
68	0.00818006511
69	0.007911711657
70	0.007763968281
71	0.007536038318
72	0.007294316571
73	0.007105085521
74	0.006868123068
75	0.006572059198
76	0.006335344635
77	0.006125724637
78	0.005938934721
79	0.00569205086
80	0.00549626041
81	0.005377952513
82	0.005255222782
83	0.00508762255
84	0.005001934452
85	0.004863186286
86	0.004729406086
87	0.004595769197
88	0.004473985999
89	0.004382521872
90	0.004329046394
91	0.004272335275
92	0.004154347892
93	0.004068928503
94	0.003985485939
95	0.003880317904
96	0.003779535874
97	0.003743292621
98	0.003701268013
99	0.003637616944
100	0.003538249388
101	0.003485502813
102	0.00343803673
103	0.003403783617
104	0.003362581355
105	0.003284206252
106	0.003238359685
107	0.003169973046
108	0.003109623948
109	0.00308078205
110	0.003049335855
111	0.003015766618
112	0.002981761637
113	0.00291421671
114	0.00285372067
115	0.002822280769
116	0.002800493567
117	0.002739544595
118	0.002681440547
119	0.00265497297
120	0.002626005674
121	0.002602574022
122	0.002549288093
123	0.002528785852
124	0.002506928447
125	0.002492853914
126	0.002470792193
127	0.002452756263
128	0.00243081776
129	0.002409223496
130	0.002378130011
131	0.00235666647
132	0.002327531171
