iter	Passed	Remaining
413	2741	3880
414	2747	3872
415	2752	3864
416	2758	3856
417	2764	3848
418	2769	3840
419	2775	3832
420	2781	3825
421	2787	3818
422	2793	3810
423	2799	3802
424	2805	3795
425	2810	3787
426	2816	3779
427	2822	3771
428	2827	3763
429	2833	3756
430	2839	3748
431	2844	3740
432	2851	3733
433	2858	3727
434	2864	3720
435	2869	3711
436	2875	3705
437	2881	3697
438	2887	3689
439	2893	3682
440	2898	3674
441	2904	3667
442	2911	3660
443	2917	3653
444	2923	3646
445	2928	3638
446	2934	3630
447	2940	3622
448	2946	3615
449	2952	3608
450	2958	3600
451	2964	3593
452	2970	3587
453	2976	3579
454	2982	3572
455	2988	3565
456	2994	3558
457	3001	3551
458	3006	3543
459	3012	3536
460	3018	3529
461	3025	3522
462	3031	3515
463	3037	3508
464	3043	3502
465	3049	3495
466	3056	3488
467	3062	3480
468	3069	3474
469	3075	3467
470	3081	3460
471	3087	3454
472	3093	3447
473	3100	3440
474	3106	3433
475	3112	3426
476	3119	3420
477	3125	3412
478	3131	3405
479	3137	3398
480	3143	3391
481	3149	3384
482	3155	3377
483	3161	3370
484	3167	3363
485	3173	3355
486	3179	3349
487	3185	3341
488	3190	3334
489	3197	3327
490	3202	3320
491	3208	3312
492	3214	3305
493	3220	3298
494	3226	3291
495	3231	3284
496	3237	3276
497	3243	3269
498	3248	3261
499	3254	3254
500	3260	3247
501	3266	3240
502	3271	3232
503	3277	3225
504	3283	3218
505	3289	3211
506	3294	3203
507	3300	3196
508	3305	3188
509	3311	3181
510	3317	3174
511	3322	3166
512	3328	3159
513	3334	3152
514	3339	3145
515	3345	3138
516	3350	3130
517	3356	3123
518	3362	3116
519	3368	3109
520	3374	3102
521	3380	3095
522	3386	3088
523	3392	3081
524	3397	3074
525	3403	3066
526	3409	3059
527	3414	3052
528	3420	3045
529	3426	3038
530	3431	3031
531	3437	3024
532	3444	3018
533	3450	3011
534	3456	3004
535	3461	2996
536	3467	2989
537	3472	2982
538	3478	2975
539	3484	2968
540	3490	2961
541	3495	2953
542	3501	2946
543	3507	2940
544	3513	2933
545	3519	2926
546	3524	2919
547	3530	2912
548	3536	2905
549	3542	2898
550	3548	2891
551	3553	2884
552	3560	2877
553	3566	2870
554	3571	2863
555	3577	2856
556	3583	2849
557	3589	2843
558	3594	2835
559	3600	2829
560	3606	2822
561	3612	2815
562	3618	2808
563	3624	2802
564	3630	2795
565	3636	2788
566	3643	2782
567	3649	2775
568	3655	2768
569	3661	2762
570	3667	2755
571	3673	2748
572	3680	2742
573	3687	2736
574	3693	2730
575	3700	2723
576	3706	2716
577	3713	2711
578	3719	2704
579	3726	2698
580	3732	2691
581	3738	2685
582	3746	2679
583	3752	2673
584	3759	2667
585	3766	2660
586	3772	2654
587	3778	2647
588	3784	2640
589	3790	2634
590	3796	2627
591	3801	2620
592	3807	2613
593	3813	2606
594	3819	2599
595	3825	2592
596	3831	2586
597	3837	2579
598	3843	2572
599	3849	2566
600	3856	2560
601	3862	2553
602	3868	2546
603	3874	2540
604	3881	2534
605	3887	2527
606	3892	2520
607	3898	2513
608	3905	2507
609	3911	2500
610	3917	2494
611	3924	2487
612	3929	2481
613	3935	2474
614	3942	2467
615	3947	2461
616	3954	2454
617	3960	2448
618	3966	2441
619	3973	2435
620	3978	2428
621	3984	2421
622	3990	2414
623	3997	2408
624	4003	2402
625	4010	2395
626	4016	2389
627	4023	2383
628	4029	2376
629	4036	2370
630	4042	2364
631	4048	2357
632	4054	2350
633	4060	2343
634	4066	2337
635	4073	2331
636	4079	2324
637	4085	2318
